category,im_url_display,subcategory,description,gender,price,im_url_small,brand_name,im_url_md,product_url,currency,im_url,im_name,product_name,store,product_id
Handbags,http://images.neimanmarcus.com/ca/3/product_assets/T/C/N/B/E/NMTCNBE_an.jpg,Handbags,"Self Portrait ""Azaelea"" dress in guipure lace with sheer illusion. V neckline. Spaghetti straps. Princess seams on bodice. Smocked waist. A-line silhouette. Scalloped hem. Exposed back zip. Side pockets. Polyester; hand wash. Imported.",Women,480.00,http://images.neimanmarcus.com/ca/3/product_assets/T/C/N/B/E/NMTCNBE_an.jpg,Self Portrait,http://images.neimanmarcus.com/ca/3/product_assets/T/C/N/B/E/NMTCNBE_ak.jpg,http://www.neimanmarcus.com/Self-Portrait-Azaelea-Guipure-Lace-Illusion-Dress-Burgundy-All-Apparel/prod190770404_cat58290731__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat58290731%2526pageSize%253D29%2526Nao%253D0%2526refinements%253D&eItemId=prod190770404&cmCat=product,USD,http://images.neimanmarcus.com/ca/3/product_assets/T/C/N/B/E/NMTCNBE_az.jpg,NMTCNBE_az,"Azaelea Guipure-Lace Illusion Dress, Burgundy",Neiman Marcus,48ca98c2
Handbags,http://images.neimanmarcus.com/ca/3/product_assets/T/C/N/B/E/NMTCNBE_an.jpg,Handbags,"Self Portrait ""Azaelea"" dress in guipure lace with sheer illusion. V neckline. Spaghetti straps. Princess seams on bodice. Smocked waist. A-line silhouette. Scalloped hem. Exposed back zip. Side pockets. Polyester; hand wash. Imported.",Women,480.00,http://images.neimanmarcus.com/ca/3/product_assets/T/C/N/B/E/NMTCNBE_mn.jpg,Self Portrait,http://images.neimanmarcus.com/ca/3/product_assets/T/C/N/B/E/NMTCNBE_mk.jpg,http://www.neimanmarcus.com/Self-Portrait-Azaelea-Guipure-Lace-Illusion-Dress-Burgundy-All-Apparel/prod190770404_cat58290731__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat58290731%2526pageSize%253D29%2526Nao%253D0%2526refinements%253D&eItemId=prod190770404&cmCat=product,USD,http://images.neimanmarcus.com/ca/3/product_assets/T/C/N/B/E/NMTCNBE_mz.jpg,NMTCNBE_mz,"Azaelea Guipure-Lace Illusion Dress, Burgundy",Neiman Marcus,48ca98c2
Handbags,http://images.neimanmarcus.com/ca/3/product_assets/T/C/N/B/E/NMTCNBE_an.jpg,Handbags,"Self Portrait ""Azaelea"" dress in guipure lace with sheer illusion. V neckline. Spaghetti straps. Princess seams on bodice. Smocked waist. A-line silhouette. Scalloped hem. Exposed back zip. Side pockets. Polyester; hand wash. Imported.",Women,480.00,http://images.neimanmarcus.com/ca/2/product_assets/T/C/N/B/E/NMTCNBE_en.jpg,Self Portrait,http://images.neimanmarcus.com/ca/2/product_assets/T/C/N/B/E/NMTCNBE_ek.jpg,http://www.neimanmarcus.com/Self-Portrait-Azaelea-Guipure-Lace-Illusion-Dress-Burgundy-All-Apparel/prod190770404_cat58290731__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat58290731%2526pageSize%253D29%2526Nao%253D0%2526refinements%253D&eItemId=prod190770404&cmCat=product,USD,http://images.neimanmarcus.com/ca/2/product_assets/T/C/N/B/E/NMTCNBE_ez.jpg,NMTCNBE_ez,"Azaelea Guipure-Lace Illusion Dress, Burgundy",Neiman Marcus,48ca98c2
Handbags,http://images.neimanmarcus.com/ca/1/product_assets/T/C/F/5/6/NMTCF56_en.jpg,Handbags,Bagatelle diamond laser-cut leather and mesh tunic. V neckline. Half sleeves. Relaxed silhouette. Straight hem. Pullover style. Polyester mesh and lining. Imported.,Women,315.00,http://images.neimanmarcus.com/ca/1/product_assets/T/C/F/5/6/NMTCF56_en.jpg,Bagatelle,http://images.neimanmarcus.com/ca/1/product_assets/T/C/F/5/6/NMTCF56_ek.jpg,http://www.neimanmarcus.com/Bagatelle-Diamond-Laser-Cut-Leather-Tunic-Black-All-Apparel/prod190040326_cat58290731__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat58290731%2526pageSize%253D29%2526Nao%253D0%2526refinements%253D&eItemId=prod190040326&cmCat=product,USD,http://images.neimanmarcus.com/ca/1/product_assets/T/C/F/5/6/NMTCF56_ez.jpg,NMTCF56_ez," Diamond Laser-Cut Leather Tunic, Black
					",Neiman Marcus,49a8b616
Handbags,http://images.neimanmarcus.com/ca/1/product_assets/T/C/F/5/6/NMTCF56_en.jpg,Handbags,Bagatelle diamond laser-cut leather and mesh tunic. V neckline. Half sleeves. Relaxed silhouette. Straight hem. Pullover style. Polyester mesh and lining. Imported.,Women,315.00,http://images.neimanmarcus.com/ca/2/product_assets/T/C/F/5/6/NMTCF56_an.jpg,Bagatelle,http://images.neimanmarcus.com/ca/2/product_assets/T/C/F/5/6/NMTCF56_ak.jpg,http://www.neimanmarcus.com/Bagatelle-Diamond-Laser-Cut-Leather-Tunic-Black-All-Apparel/prod190040326_cat58290731__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat58290731%2526pageSize%253D29%2526Nao%253D0%2526refinements%253D&eItemId=prod190040326&cmCat=product,USD,http://images.neimanmarcus.com/ca/2/product_assets/T/C/F/5/6/NMTCF56_az.jpg,NMTCF56_az," Diamond Laser-Cut Leather Tunic, Black
					",Neiman Marcus,49a8b616
Handbags,http://images.neimanmarcus.com/ca/1/product_assets/T/C/F/5/6/NMTCF56_en.jpg,Handbags,Bagatelle diamond laser-cut leather and mesh tunic. V neckline. Half sleeves. Relaxed silhouette. Straight hem. Pullover style. Polyester mesh and lining. Imported.,Women,315.00,http://images.neimanmarcus.com/ca/2/product_assets/T/C/F/5/6/NMTCF56_mn.jpg,Bagatelle,http://images.neimanmarcus.com/ca/2/product_assets/T/C/F/5/6/NMTCF56_mk.jpg,http://www.neimanmarcus.com/Bagatelle-Diamond-Laser-Cut-Leather-Tunic-Black-All-Apparel/prod190040326_cat58290731__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat58290731%2526pageSize%253D29%2526Nao%253D0%2526refinements%253D&eItemId=prod190040326&cmCat=product,USD,http://images.neimanmarcus.com/ca/2/product_assets/T/C/F/5/6/NMTCF56_mz.jpg,NMTCF56_mz," Diamond Laser-Cut Leather Tunic, Black
					",Neiman Marcus,49a8b616
Handbags,http://images.neimanmarcus.com/ca/1/product_assets/T/C/9/E/G/NMTC9EG_mn.jpg,Handbags,"Badgley Mischka evening gown. 53.5""L from shoulder to hem, 60""L down center back. Sweetheart neckline. Cap sleeves. Close-fitting column silhouette. Floor-sweeping hem.  Hidden back zip.  Polyester/spandex.  Lining, polyester. Spot clean.  Imported. ",Women,550.00,http://images.neimanmarcus.com/ca/1/product_assets/T/C/9/E/G/NMTC9EG_mn.jpg,Badgley Mischka,http://images.neimanmarcus.com/ca/1/product_assets/T/C/9/E/G/NMTC9EG_mk.jpg,http://www.neimanmarcus.com/Badgley-Mischka-Cap-Sleeve-Sweetheart-Column-Gown-Navy-All-Apparel/prod189060357_cat58290731__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat58290731%2526pageSize%253D29%2526Nao%253D0%2526refinements%253D&eItemId=prod189060357&cmCat=product,USD,http://images.neimanmarcus.com/ca/1/product_assets/T/C/9/E/G/NMTC9EG_mz.jpg,NMTC9EG_mz," Cap-Sleeve Sweetheart Column Gown, Navy 
					",Neiman Marcus,4a6661d4
Handbags,http://images.neimanmarcus.com/ca/1/product_assets/T/C/9/E/G/NMTC9EG_mn.jpg,Handbags,"Badgley Mischka evening gown. 53.5""L from shoulder to hem, 60""L down center back. Sweetheart neckline. Cap sleeves. Close-fitting column silhouette. Floor-sweeping hem.  Hidden back zip.  Polyester/spandex.  Lining, polyester. Spot clean.  Imported. ",Women,550.00,http://images.neimanmarcus.com/ca/1/product_assets/T/C/9/E/G/NMTC9EG_an.jpg,Badgley Mischka,http://images.neimanmarcus.com/ca/1/product_assets/T/C/9/E/G/NMTC9EG_ak.jpg,http://www.neimanmarcus.com/Badgley-Mischka-Cap-Sleeve-Sweetheart-Column-Gown-Navy-All-Apparel/prod189060357_cat58290731__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat58290731%2526pageSize%253D29%2526Nao%253D0%2526refinements%253D&eItemId=prod189060357&cmCat=product,USD,http://images.neimanmarcus.com/ca/1/product_assets/T/C/9/E/G/NMTC9EG_az.jpg,NMTC9EG_az," Cap-Sleeve Sweetheart Column Gown, Navy 
					",Neiman Marcus,4a6661d4
Handbags,http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/R/0/NMX3AR0_an.jpg,Handbags,"Stuart Weitzman suede ballerina flat. 0.5"" flat covered heel. Square toe with bow. Slip-on style. Padded footbed. Suede lining. Leather outsole. ""Shoestring"" is made in Spain.",,335.00,http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/R/0/NMX3AR0_an.jpg,Stuart Weitzman,http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/R/0/NMX3AR0_ak.jpg,http://www.neimanmarcus.com/Stuart-Weitzman-Shoestring-Suede-Ballerina-Flat-Black-Shoes/prod191000045_cat40510788__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat40510788%2526pageSize%253D30%2526No%253D0%2526refinements%253D&eItemId=prod191000045&cmCat=product,USD,http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/R/0/NMX3AR0_az.jpg,NMX3AR0_az," Shoestring Suede Ballerina Flat, Black
					",Neiman Marcus,4b25ffc6
Handbags,http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/R/0/NMX3AR0_an.jpg,Handbags,"Stuart Weitzman suede ballerina flat. 0.5"" flat covered heel. Square toe with bow. Slip-on style. Padded footbed. Suede lining. Leather outsole. ""Shoestring"" is made in Spain.",,335.00,http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/R/0/NMX3AR0_mn.jpg,Stuart Weitzman,http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/R/0/NMX3AR0_mk.jpg,http://www.neimanmarcus.com/Stuart-Weitzman-Shoestring-Suede-Ballerina-Flat-Black-Shoes/prod191000045_cat40510788__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat40510788%2526pageSize%253D30%2526No%253D0%2526refinements%253D&eItemId=prod191000045&cmCat=product,USD,http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/R/0/NMX3AR0_mz.jpg,NMX3AR0_mz," Shoestring Suede Ballerina Flat, Black
					",Neiman Marcus,4b25ffc6
